Country Code,Country,Year,PV cumulative capacity (MW),Last year's PV cumulative capacity (MW),PV added capacity (MW),Solar PV Module Cost (2019 US$ per W),Population,Land area (km^2),Urban land area (km^2),Rural land area (km^2),Agricultural land (km^2),Forest area (km^2),Public Investments in solar energy (2019 million USD),KOFGI,GDP (current US$),GNI (current US$),Access to electricity (% of population),Primary education,Secondary education,Tertiary education,"Average Theoretical potential (GHI, kWh/m2/day), long-term",Research and development expenditure (% of GDP),Investment in energy with private participation (current US$),Gini index (World Bank estimate),Ease of doing business rank (1=most business-friendly regulations),Duration of compulsory education (years),Labor force,Total unemployment,"Agriculture, forestry, and fishing, value added (current US$)","Manufacturing, value added (current US$)","Industry (including construction), value added (current US$)",electricity net generation (billion kWh),electricity net consumption (billion kWh),nuclear electricity net generation (billion kWh),fossil fuels electricity net generation (billion kWh),Cloud coverage (%),Daylight hours (min/day),Precipitation,Snowfall (mm/h),Temperature (C)
CIV,Cote d Ivoire,2020,13.144,13.144,0,,26378275,318000,3466.161621,314812.3438,,28367.1,,,61348579465,59471452570,,26499069.43,15145561.783,,5.05,,810240000,,,10,8549394,298202.85554,13119634115,6868470185,12795412824,,,,,63.120476167,727.35912805,0.1325225507,0.0000001165,26.827737083
HRV,Croatia,2000,0,,,4.879966188,4468302,55910,5302.795898,51019.57031,11690,18850,,63.7258873,21839780971,21436444638,100,4246956.1894,3821562.0575,1446888.3939,3.74,1.04916,,,,8,1874491,301043.24467,1083602781,3638646281,5258384425,10.22004,12.18404,0,4.43304,46.3536025,732.8203782,0.1061663489,0.0033953848,14.1905916
HRV,Croatia,2001,0,0,0,4.773879966,4299642,55910,5302.795898,51019.57031,11780,18885,,65.51057434,23273640257,22791793391,100,4174371.0356,3687555.1314,1510594.0189,3.74,0.92079,,,,8,1770295,280060.66351,1154541402,3805863643,5515867319,11.65016,12.34516,0,5.18316,52.70801075,733.07897148,0.1209460867,0.0089487769,13.408598658
HRV,Croatia,2002,0,0,0,4.031276416,4302174,55910,5302.795898,51019.57031,11810,18920,,67.206604,27074550258,26616296265,100,4292752.1628,3737221.8663,1631388.7333,3.74,0.95033,,,,8,1832539,275797.12298,1311515728,4123336447,6183335037,11.68252,12.74052,0,6.39952,58.2422055,733.07440418,0.1404234638,0.0039831754,13.824643833
HRV,Croatia,2003,0,0,0,3.978233305,4303399,55910,5302.795898,51019.57031,11960,18955,,69.90940094,34985749883,33820561994,100,4379003.644,3801828.7061,1754647.3131,3.74,0.94981,,,,8,1811080,252102.33745,1378126930,5197532066,8148136405,12.02396,12.83796,0,7.22296,48.244867,733.06986798,0.0918330943,0.0072861163,13.561271867
HRV,Croatia,2004,0,0,0,4.137362637,4304600,55960,5302.795898,51019.57031,11760,18990,,73.37794495,41958833541,41234136411,100,,,1810560.7973,3.74,1.03031,,,,8,1850650,252798.78722,1855185448,6306029311,10181357553,12.6961,13.5151,0,5.8421,55.687024167,732.81915087,0.1429919808,0.0100226171,13.08140325
HRV,Croatia,2005,0,0,0,4.243448859,4310145,55960,5302.795898,51019.57031,12110,19025,,74.66267395,45780237257,44686370271,100,4454362.15,4015806.4108,1929397.2512,3.74,0.85614,,,,8,1802259,227084.64085,1771733713,6547657620,10873680257,11.88718,14.23518,0,5.63718,53.88231725,733.07809175,0.131623256,0.013555873,12.454098492
HRV,Croatia,2006,0,0,0,4.455621302,4311159,55960,5302.795898,51019.57031,12300,19060,0.05,75.3152771,50860788253,49555166924,100,4341477.1006,4092766.7867,1965254.2894,3.74,0.74007,,,,8,1793079,199569.69467,2027658170,7019792224,11910491021,11.81644,14.97544,0,5.89944,52.123011833,733.07366606,0.109236912,0.0064348137,13.258545583
HRV,Croatia,2007,0,0,0,4.137362637,4310217,55960,5302.795898,51019.57031,12020,19095,,77.44632721,60542673503,59150067178,100,4211992.4449,4163706.7157,2033892.1966,3.74,0.79107,,,,8,1930145,191277.36655,2242588774,8412565191,13920161988,11.50088,15.45288,0,7.33388,48.875380667,733.06926211,0.1168046225,0.0070930995,13.983039058
HRV,Croatia,2008,0,0,0,3.447802198,4309705,55960,5302.795898,51019.57031,12891,19130,,77.79854584,70750646248,68455156478,100,4044384.8404,4239515.1253,2118831.9783,3.74,0.88656,,,,8,1935016,165056.85963,2758512254,9565379838,16173065511,11.69966,16.00566,0,6.52266,50.244172417,732.81848228,0.1230527598,0.0034581634,13.835263383
HRV,Croatia,2009,0.3,0,0.3,2.386939983,4305181,55960,5302.795898,51019.57031,12996,19165,,77.1681366,63084004705,60742797046,100,3951419.5553,4298613.7861,2100319.9887,3.74,0.84474,,32.6,,8,1932012,177745.10031,2531058536,8378875954,14340699358,12.23508,15.21908,0,5.52908,54.556240917,733.07769565,0.1306636355,0.0088971785,13.754347633
HRV,Croatia,2010,0.3,0.3,0,2.04475,4295427,55960,5302.795898,51019.57031,13338,19200,,76.7865448,60426018629,58388135336,100,3949385.1174,4291174.5694,2320756.0705,3.74,0.74292,,32.4,,8,1909758,221913.8775,2216604951,7847426487,12959925260,14.32912,16.27512,0,5.16812,56.488453917,733.07329786,0.1653376597,0.0129357915,12.956664792
HRV,Croatia,2011,0.3,0.3,0,1.67725,4280622,55960,5302.795898,51019.57031,13261,19204,,76.8456955,63169910822,61129319478,100,4003996.5357,4246002.6262,2449706.7108,3.74,0.75095,,32.3,,8,1876824,256749.52902,2303781401,8599473213,13661789277,10.7817,16.1057,0,5.5977,45.544382,733.06887594,0.0820791961,0.0041243239,13.706482417
HRV,Croatia,2012,4,0.3,3.7,0.876416667,4267558,55960,5302.795898,51019.57031,13310,19208,,77.63512421,57192346923,55274204473,100,4113034.8403,4221348.1531,2588152.2218,3.74,0.75101,,32.5,,8,1858316,296029.74456,1889454404,7751049350,12128953814,10.15614,15.70014,0,5.01114,47.730904417,732.81790967,0.1149040476,0.0095156224,13.882869163
HRV,Croatia,2013,19,4,15,0.696333333,4255689,55960,5302.795898,51019.57031,15673,19212,,77.4598999,58889082315,57717108744,100,4242454.2592,4227941.5647,2788961.0717,3.74,0.81157,,32,,8,1840265,317445.7125,2040092092,7443530309,12176216794,13.53468,15.45968,0,4.39168,53.821528,733.07714028,0.1457540186,0.0130723224,13.62493225
HRV,Croatia,2014,33,19,14,0.6415,4238389,56590,5302.795898,51019.57031,15085,19216,,79.07468414,58330289757,57124036614,100,4280604.0962,4183390.7031,2861346.2054,3.74,0.78306,,32.1,,8,1893188,327332.22262,1723479295,7439095570,12163423520,13.08606,15.27506,0,3.28906,58.169944667,733.07261111,0.1685912254,0.0046633008,14.262576625
HRV,Croatia,2015,47.8,33,14.8,0.5965,4203604,56590,5302.795898,51019.57031,15372,19220,,79.40572357,50163192883,49853588712,100,4227952.5901,4147018.0099,2795019.1848,3.74,0.84007,,31.1,,8,1894251,306489.81767,1492056177,6408675210,10350309510,10.87932,15.86632,0,3.50432,50.21745175,733.06804742,0.1089581577,0.007356748,14.091205708
HRV,Croatia,2016,55.8,47.8,8,0.5505,4174349,56590,5302.795898,51019.57031,15460,19241.202,,79.60442352,52295158344,50752030687,100,4099234.4763,4127225.1502,2777293.7037,3.74,0.86314,,30.9,,8,1833113,240137.80997,1605420363,6744744990,10790518280,12.20194,15.92594,0,3.99594,53.069581667,732.81681255,0.1287475309,0.0052680853,13.783240633
HRV,Croatia,2017,60,55.8,4.2,0.462166667,4124531,56590,5302.795898,51019.57031,14970,19316.084,,79.90328217,56214427431,55400508645,100,3978977.5875,4099883.6293,2799136.1612,3.74,0.86266,,30.4,,8,1821332,204171.31793,1627734887,7174975306,11380272795,11.36592,16.55492,0,4.38792,47.597087583,733.07602451,0.1203747858,0.0074038659,13.766519256
HRV,Croatia,2018,67.7,60,7.7,0.4115,4087843,56590,5302.795898,51019.57031,14840,19341.1,,81.01941681,62247874949,61350206792,100,3867224.1666,4091103.9909,2765598.6321,3.74,0.97192,,29.7,,8,1788894,150803.76966,1840726849,7664628000,12373253388,13.208772,16.771772,0,3.54098,56.04602475,733.07140873,0.1282029934,0.0122278759,14.3791823
HRV,Croatia,2019,84.8,67.7,17.1,0.37725,4065253,56590,5302.795898,51019.57031,,19366.1,,81.48921204,62246206341,61323651128,100,3789755.1288,4070108.152,2753060.4065,3.74,,,,51,8,1774837,117494.20738,1785696817,7417218422,12419836531,12.31668,16.79068,0,3.969,51.73398125,733.06679959,0.1386400238,0.0045013544,14.406760533
HRV,Croatia,2020,84.8,84.8,0,,4047200,56590,5302.795898,51019.57031,,19391.1,,,57203783203,57417029309,,,,,3.74,,,,,8,1764961,132548.57514,1839963960,6935671695,12101645584,10.643,,0,4.384,49.271316417,732.81538418,0.1139018201,0.0025314381,14.150107833
CUB,Cuba,2000,0,,,4.879966188,11126423,107400,9572.447266,100440.7969,65540,24350,0.28,47.86310577,30565400000,29943300000,97,11420135.032,9207207.5598,2451978.7204,5.41,0.47865,,,,9,4585373,249902.81974,2017700000,5019700000,7804900000,14.19216,11.82116,0,13.15906,41.735919167,728.55205181,0.0788021808,7.7666667e-8,25.382061
CUB,Cuba,2001,0,0,0,4.773879966,11164676,107400,9572.447266,100440.7969,66560,24847,3.74,48.88335419,31682400000,31179700000,96.21989441,11497513.19,9437256.8722,2815980.3611,5.41,0.5653,,,,9,4626660,188767.72448,2021200000,5091200000,7877000000,14.44146,12.06946,0,13.43636,45.274281917,728.65210226,0.0956721564,3.8833333e-8,25.43396325
CUB,Cuba,2002,0,0,0,4.031276416,11199664,106390,9572.447266,100440.7969,66540,25344,0.08,48.99250793,33590500000,32979826200,95.5,11604112.068,9891597.8969,3027922.0681,5.41,0.56445,,,,9,4673864,154704.89574,1997200000,5158000000,7961400000,14.81986,12.39386,0,13.77476,43.721257667,728.65029587,0.1104639324,5.825e-8,25.794628833
CUB,Cuba,2003,0,0,0,3.978233305,11229185,106400,9572.447266,100440.7969,66380,25841,0.3,50.13110352,35901200000,35340723500,96.55662537,11434914.034,10262431.777,3683050.0831,5.41,0.58243,,,,9,4734276,110308.6272,2062600000,5110200000,8079900000,14.91238,12.50338,0,14.06428,48.052188333,728.64850249,0.090208739,3.8833333e-8,25.926216167
CUB,Cuba,2004,0,0,0,4.137362637,11250369,106410,9572.447266,100440.7969,65280,26338,0.64,50.59159088,38203000000,37552770500,96.70960999,11441003.499,10231876.369,6056351.5101,5.41,0.60231,116000000,,,9,4795837,88722.985651,2091400000,5262900000,8419800000,14.748404,12.337404,0,13.87158,44.270549917,728.55155499,0.0692225881,0,25.613258167
CUB,Cuba,2005,0,0,0,4.243448859,11261586,106440,9572.447266,100440.7969,66370,26835,0.41,50.99045181,42643836100,42010636100,96.85093689,11386835.4,10479241.202,7003922.5662,5.41,0.5492,,,,9,4864091,94849.776835,1860828700,5923026700,9179866100,14.45186,12.11786,0,13.96276,49.759571167,728.65174253,0.1299027128,3.8833333e-8,25.489104583
CUB,Cuba,2006,0,0,0,4.455621302,11261241,106430,9572.447266,100440.7969,66300,27332,0.2,52.407547,52742800000,52124800000,96.98313141,11299527.091,10745330.757,9757210.8153,5.41,0.44139,60000000,,,9,4929715,94157.554873,1795900000,7079100000,11711400000,15.51146,12.86246,0,15.01086,47.034334917,728.6499942,0.107924775,5.825e-8,25.625762667
CUB,Cuba,2007,0,0,0,4.137362637,11251117,106440,9572.447266,100440.7969,66200,27829,0.01,53.9225502,58603900000,57644200000,97.11227417,11219078.373,10752109.635,11867745.538,5.41,0.43615,,,,9,4969380,88951.900112,2290300000,8503600000,13201700000,16.597066,13.627066,0,16.06178,48.10027575,728.6482566,0.138131138,5.825e-8,25.756579083
CUB,Cuba,2008,0,0,0,3.447802198,11236975,106440,9572.447266,100440.7969,65670,28326,0.05,55.04410553,60806300000,59751100000,97.24460602,11167836.123,10668920.16,13158588.43,5.41,0.50061,,,,9,4992279,78878.010347,2321000000,8915600000,13612400000,16.65738,13.84938,0,15.95838,44.868620167,728.55128747,0.1077306263,1.9416667e-8,25.649984
CUB,Cuba,2009,0,0,0,2.386939983,11226711,106440,9572.447266,100440.7969,65138,28823,,54.90202713,62080000000,60437000000,97.38635254,11319156.296,10416095.219,12809419.261,5.41,0.61485,,,,9,5118805,85484.041299,2440000000,9300000000,14033000000,16.70312,13.95412,0,16.01572,41.06219125,728.65158894,0.0857840648,5.825e-8,25.607449667
CUB,Cuba,2010,0,0,0,2.04475,11225833,106440,9572.447266,100440.7969,64612,29320,0.08,55.97101212,64328000000,62896000000,97.54376221,11389704.365,10355686.2,10647959.368,5.41,0.60767,,,,9,5078837,126970.925,2325000000,10055000000,14727000000,16.38762,13.61962,0,15.82302,49.857692917,728.64985663,0.1114157265,1.9416667e-8,25.234183583
CUB,Cuba,2011,0,0,0,1.67725,11236671,106863,9572.447266,100440.7969,64078,29824,0.79,56.66411209,68990000000,67926000000,97.72306824,11396928.503,10284444.747,9092506.5038,5.41,0.27192,,,,9,5152741,163857.16725,2487000000,10583000000,15356000000,16.72778,13.94078,0,16.15578,43.476837,728.64811625,0.1036617078,7.7666667e-8,25.6399465
CUB,Cuba,2012,0.6,0,0.6,0.876416667,11257112,106649,9572.447266,100440.7969,64056,30328,0.28,56.94451141,73141000000,72146000000,97.92878723,11350209.566,10152656.466,7185358.1115,5.41,0.40716,,,,9,5185962,179434.28717,2816000000,11778000000,17091000000,17.36236,14.46036,0,16.67936,47.201812417,728.55107383,0.1163474037,3.8833333e-8,25.523778
CUB,Cuba,2013,11,0.6,10.4,0.696333333,11282722,104220,9572.447266,100440.7969,63423,30832,0.36,57.50546265,77148000000,76226000000,98.15862274,11184785.818,10264791.02,5558787.1455,5.41,0.47467,,,,9,5219536,171722.73242,3028000000,12138000000,17860000000,18.04058,15.09758,0,17.20858,47.280448,728.65138695,0.1027760448,3.8833333e-8,25.832239917
CUB,Cuba,2014,22,11,11,0.6415,11306909,104020,9572.447266,100440.7969,62788.8,31336,0.04,57.14062881,80656000000,79602100000,98.40854645,11311428.417,10967928.607,4631419.8103,5.41,0.41596,,,,9,5246243,141648.56352,3176000000,12169000000,17867000000,18.24972,15.28872,0,17.47272,45.05377725,728.64960268,0.0951320916,0,25.85357
CUB,Cuba,2015,23.8,22,1.8,0.5965,11324777,104100,9572.447266,100440.7969,62403,31840,15.79,57.80009842,87133000000,86014000000,98.67454529,11266746.504,11085954.602,4089852.6822,5.41,0.42854,,,,9,5282677,126784.25302,3342000000,12990000000,19477000000,19.11878,15.98378,0,18.31778,43.572026833,728.64780448,0.0937676495,1.3591667e-7,26.220291083
CUB,Cuba,2016,37,23.8,13.2,0.5505,11335108,104040,9572.447266,100440.7969,62267,32410,0.03,58.17457199,91370000000,90086000000,98.95259857,11285463.285,11348092.106,3858449.2469,5.41,0.34223,,,,9,5295539,105910.78,3599000000,12655000000,20963000000,19.27812,16.16112,0,18.46912,49.572674167,728.55065139,0.0971195568,9.7083333e-8,26.011044083
CUB,Cuba,2017,65.467,37,28.467,0.462166667,11339255,103800,9572.447266,100440.7969,63000,32420,109.41,62.48994064,96851000000,95497000000,99.23869324,11391432.775,11487705.533,4525852.6483,5.41,0.43066,,,,9,5314631,90348.729551,3681000000,13075000000,23589000000,19.37068,16.19368,0,18.58568,48.335722917,728.65095488,0.1312978403,3.8833333e-8,25.905799333
CUB,Cuba,2018,128.085,65.467,62.618,0.4115,11338146,103800,9572.447266,100440.7969,63000,32420,,62.81616974,100050000000,98575000000,99.52880096,11554086.501,11467087.648,4691613.7792,5.41,0.53706,,,,9,5334777,90691.211561,3785000000,12820000000,24890000000,19.63126,16.34166,0,18.87426,48.26895525,728.64913123,0.115499123,3.8833333e-8,25.861638167
CUB,Cuba,2019,159.3,128.085,31.215,0.37725,11333484,103800,9572.447266,100440.7969,,32420,1.8,62.86697769,103428000000,,99.8,11658431.046,11371975.062,5015532.2983,5.41,,,,,9,5345330,92741.476248,3690000000,12907000000,25391000000,19.52646,16.09746,0,18.62046,44.980536417,728.6473098,0.1001572802,0,26.3221815
CUB,Cuba,2020,163.2,159.3,3.9,,11326616,103800,9572.447266,100440.7969,,32420,,,107352000000,,,11685959.87,11320786.429,5291562.6761,5.41,,,,,9,5099652,133814.87215,2965000000,12020000000,24711000000,,,0,,48.94065675,728.55008149,0.1244957858,0.0000001165,26.36098375
,Curacao,2000,0,,,4.879966188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2001,0,0,0,4.773879966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2002,0,0,0,4.031276416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2003,0,0,0,3.978233305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2004,0,0,0,4.137362637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2005,0,0,0,4.243448859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2006,0,0,0,4.455621302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2007,0,0,0,4.137362637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2008,0,0,0,3.447802198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2009,0,0,0,2.386939983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2010,0,0,0,2.04475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2011,0,0,0,1.67725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2012,0.1,0,0.1,0.876416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2013,3.1,0.1,3,0.696333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2014,7.7,3.1,4.6,0.6415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2015,10.1,7.7,2.4,0.5965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2016,11.1,10.1,1,0.5505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2017,11.1,11.1,0,0.462166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2018,11.9,11.1,0.8,0.4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2019,11.9,11.9,0,0.37725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curacao,2020,11.9,11.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,2000,0,,,4.879966188,943288,9240,2280.400391,6949.833984,1415,1716.1,,64.08135223,9985844486,9128568332,100,912455.25226,880768.18234,184529.02378,5.21,0.2269,,,,9,441245,21929.875573,364210179.1,813785108.4,1766099906,3.168,2.98,0,3.168,23.480961767,730.50793218,0.0460939623,0.000029835,19.892572083
CYP,Cyprus,2001,0,0,0,4.773879966,960274,9240,2280.400391,6949.833984,1400,1717.33,,64.83601379,10397897086,9655802368,100,928101.09927,897328.62247,207539.41242,5.21,0.23694,,,,9,462162,18394.047688,401441712.2,805405282.3,1808592896,3.338,3.105,0,3.338,24.74006455,730.68730229,0.0521892794,1.3610833e-6,20.40200475
CYP,Cyprus,2002,0,0,0,4.031276416,976968,9240,2280.400391,6949.833984,1400,1718.56,,64.71369171,11420227885,10831199038,100,955215.34596,946830.55864,245241.33275,5.21,0.27967,,,,9,474225,15649.424772,432627884.6,883200000,2047665385,3.558,3.391,0,3.558,23.222108883,730.68407435,0.0398235744,0.0001479688,20.200333208
CYP,Cyprus,2003,0,0,0,3.978233305,993562,9240,2280.400391,6949.833984,1540,1719.79,,65.76935577,14547325028,13954369196,100,969820.95305,977906.07595,317578.27981,5.21,0.31834,,,,9,495521,20514.568736,487758776.9,1067840317,2620403171,3.809,3.65,0,3.809,26.394396383,730.68086935,0.0485499303,0.0001687107,20.067171417
CYP,Cyprus,2004,1,0,1,4.137362637,1010410,9240,2280.400391,6949.833984,1560,1721.02,,72.14637756,17320552500,16345890000,100,987627.59491,987323.32793,362370.30427,5.21,0.33564,,30.1,,9,506173,21917.290515,534047500,1248667500,3129383750,3.948,3.735,0,3.948,25.530768858,730.50703041,0.052503544,0.0001276344,19.83392
CYP,Cyprus,2005,1,1,0,4.243448859,1027657,9240,2280.400391,6949.833984,1670,1722.25,,73.12472534,18433411267,17475010571,100,1036473.7658,992133.79098,341396.09637,5.21,0.36727,,30.3,,10,519600,27538.800992,504804128.8,1253948514,3297944286,4.114,3.95,0,4.113,26.450933042,730.68664824,0.0348605244,4.4638333e-6,19.641227833
CYP,Cyprus,2006,1,1,0,4.455621302,1045508,9240,2280.400391,6949.833984,1570,1723.48,,74.15584564,20072786351,18960303601,100,1070463.3298,1009941.4087,349407.83714,5.21,0.38346,,31.1,,10,534263,24255.539997,456851085.2,1230702547,3579003889,4.373,4.152,0,4.372,24.9569013,730.68352768,0.0383447552,1.3158333e-6,19.613687833
CYP,Cyprus,2007,1,1,0,4.137362637,1063708,9240,2280.400391,6949.833984,1472,1724.71,,79.78677368,23968764030,22433135779,100,1090022.4212,1040084.6613,384783.70077,5.21,0.40007,,31.1,,10,553842,21710.606821,485017793.6,1376475500,4361620586,4.579,4.364,0,4.576,24.327309217,730.68042731,0.0384089428,7.9991667e-7,20.074031167
CYP,Cyprus,2008,2,1,1,3.447802198,1081568,9240,2280.400391,6949.833984,1156,1725.94,,80.28598785,27844698989,27388166105,100,1117818.9958,1063495.4371,460942.65056,5.21,0.38594,,31.7,,10,564611,20608.302036,582876812.7,1524606709,4983250330,4.775,4.622,0,4.76,22.849740625,730.50655583,0.0247459613,0.0000724353,20.263895917
CYP,Cyprus,2009,4,2,2,2.386939983,1098089,9240,2280.400391,6949.833984,1276,1727.17,,79.72426605,25945391775,25873166157,100,1156998.8548,1080382.9515,571049.00653,5.21,0.44437,,32.1,,10,571993,30658.825566,516007224.2,1395412615,4139447069,4.856,4.667,0,4.825,28.307582583,730.68638277,0.0554362413,8.7416667e-8,20.311970833
CYP,Cyprus,2010,7,4,3,2.04475,1112617,9240,2280.400391,6949.833984,1145,1728.4,,80.38327789,25732432719,25365001989,100,1130689.5561,1017385.925,537522.85939,5.21,0.44409,,31.5,,10,587534,36779.629745,530880286.4,1300867029,3730111362,5.00806,4.78806,0,4.93406,29.973999592,730.68329604,0.0339447413,4.6583333e-8,21.040002417
CYP,Cyprus,2011,10,7,3,1.67725,1124837,9240,2280.400391,6949.833984,1163,1728.14,,80.27641296,27565469098,28291559020,100,1138341.1024,1044136.948,523496.10353,5.21,0.45389,,32.6,,10,590673,46426.898592,593010857.5,1268744432,3517807628,4.64494,4.48494,0,4.46594,24.765386542,730.68019481,0.0480852677,0.0000177295,19.822175917
CYP,Cyprus,2012,17,10,7,0.876416667,1135046,9240,2280.400391,6949.833984,1169,1727.88,,80.36482239,24978513427,24805330849,100,1137036.2623,1081697.1407,520572.84648,5.21,0.43888,,34.3,,10,594715,70176.37113,501292560.7,1047318515,2940704099,4.4494,4.3124,0,4.1924,26.142252675,730.50619634,0.0680318998,0.0000509322,20.23555775
CYP,Cyprus,2013,35,17,18,0.696333333,1143866,9240,2280.400391,6949.833984,1088.3,1727.62,,79.90763092,23900872626,23618497808,100,1141143.349,1124554.0106,543625.08294,5.21,0.48607,,37,,10,599510,95142.236341,487929339.9,929019790.1,2571797051,4.05522,3.86922,0,3.72522,25.349297958,730.68604315,0.0315725063,0.0001060211,20.285623208
CYP,Cyprus,2014,64,35,29,0.6415,1152297,9240,2280.400391,6949.833984,1089.8,1727.36,,81.81925201,23156850007,22538678092,100,1142533.7902,1145576.0294,611919.8439,5.21,0.51424,,35.6,,10,609418,98055.357114,428506709.2,944592799.3,2312142952,4.10502,3.93202,0,3.79102,27.346086925,730.68286233,0.0381769409,0,20.294767583
CYP,Cyprus,2015,76,64,12,0.5965,1160987,9240,2280.400391,6949.833984,1266.8,1727.1,,81.34503174,19842404305,19712840342,100,1152861.455,1158413.239,697767.47434,5.21,0.47841,,34,,10,600993,89608.055399,371900588,845324531.2,2024382559,4.2859,4.0709,0,3.8869,26.006787575,730.67965479,0.0458670951,0.0000636204,20.233491167
CYP,Cyprus,2016,84,76,8,0.5505,1170189,9240,2280.400391,6949.833984,1093.9,1726.1,,82.11161804,20953442550,20118149214,100,1153168.7103,1159883.2446,786028.9645,5.21,0.52358,,32.9,,10,595904,77169.566868,451196590.7,958665043.2,2275772637,4.62022,4.35722,0,4.19522,24.39431525,730.50545454,0.0347713218,0.0000445228,20.673802958
CYP,Cyprus,2017,110.046,84,26.046,0.462166667,1179685,9240,2280.400391,6949.833984,1214.2,1725.9,,82.5298996,22870833710,22199072526,100,1171506.0835,1183608.0425,895862.35813,5.21,0.54998,,31.4,,10,604631,66811.726649,424978535.9,1118857885,2597514686,4.72986,4.50186,0,4.29486,24.027830825,730.68527763,0.0323605756,0.0000231676,20.379566708
CYP,Cyprus,2018,118.479,110.046,8.433,0.4115,1189262,9240,2280.400391,6949.833984,1309.47,1725.7,,82.72544861,25522671233,24607344119,100,1186829.2536,1192276.9837,967311.00706,5.21,0.54783,,32.7,,10,617517,51686.172196,442445677.8,1360977799,3109299717,4.78502,4.626833,0,4.30802,29.949701642,730.68202076,0.0543852401,3.8833333e-8,21.263596
CYP,Cyprus,2019,151.261,118.479,32.782,0.37725,1198574,9240,2280.400391,6949.833984,,1725.5,,81.64248657,25758357775,24544867346,100,1204299.5796,1208767.0724,1060562.1433,5.21,,,,54,10,628547,44438.273981,465867010,1407639091,3301580656,4.917,4.733,0,4.402,28.38537205,730.6787664,0.0730659438,0.00000993,20.6337635
CYP,Cyprus,2020,200.2,151.261,48.939,,1207361,9240,2280.400391,6949.833984,,1725.3,,,24612646488,23149145631,,,,,5.21,,,,,10,631523,47932.596666,476765277,1364445460,3112707025,4.731,,0,4.104,25.907010675,730.50442637,0.052716827,4.5566667e-7,20.576998667
CZE,Czechia,2000,0.1,,,4.879966188,10255063,77270,,,42800,26372.9,,75.30813599,61828166496,60625668796,100,10597152.191,9057010.2893,2907183.2592,3.08,1.11319,,,,,5147681,450936.86739,2009742068,14453887111,20706999521,,,,,67.382780833,734.68979118,0.0917657643,0.0109852709,9.236429275
CZE,Czechia,2001,0.1,0.1,0,4.773879966,10216605,77270,,,42780,26392.99,,76.84841919,67808032980,65898379680,100,10565562.175,9685907.7432,3062491.6939,3.08,1.10333,,,,,5123490,409366.83927,2172248703,16034646398,22993161688,,,,,72.012342,735.00716548,0.1032890454,0.0167693763,7.918612075
CZE,Czechia,2002,0.2,0.1,0.1,4.031276416,10196916,77270,,,42720,26413.08,,77.01400757,82196001051,79239888083,100,10355182.445,9738221.264,3511548.5556,3.08,1.10202,,26.6,,,5120244,359441.12783,2186073931,18367462262,27296707862,,,,,68.123710917,735.00165773,0.1100875592,0.0095382274,8.8232542917
CZE,Czechia,2003,0.3,0.2,0.1,3.978233305,10193998,77270,,,42690,26433.17,,77.4569397,100090000000,96725406785,100,10094846.219,9836129.3442,3772617.2749,3.08,1.14741,,,,,5115954,385742.92966,2442234748,21677407919,32371512638,,,,,59.699178167,734.99618545,0.0667882243,0.0095597878,8.55938777
CZE,Czechia,2004,0.4,0.3,0.1,4.137362637,10197101,77260,,,42650,26453.26,,79.00016785,119814000000,114139000000,100,10053939.995,9732327.3865,4459618.552,3.08,1.14559,,27.5,,9,5111149,419625.33484,2893991393,27241145845,40233387030,,,,,68.819143917,734.68838585,0.0885479917,0.0189946665,8.1328209425
